,Palavra,Categoria gramatical,Fonética
19627,de·si·ma·nar,verbo,de.zi.ma.nˈaɾ
19628,de·sim·bu·ir,verbo,de.zĩ.bwˈiɾ
19629,de·sim·pe·di·do,adjetivo,de.zĩ.pe.dʒˈi.dʊ
19630,de·sim·pe·di·men·to,nome masculino,de.zĩ.pe.dʒi.mˈẽj.tʊ
19631,de·sim·pe·dir,verbo,de.zĩ.pe.dʒˈi
19632,de·sim·pli·car,verbo,de.zĩ.pli.kˈaɾ
19633,de·sim·por,verbo,de.zĩ.pˈoɾ
19634,de·sim·preg·nar,verbo,de.zĩ.pɾe.gə.nˈaɾ
19635,de·sim·pren·sar,verbo,de.zĩ.pɾẽ.sˈaɾ
19636,de·sim·pres·si·o·nar,verbo,de.zĩ.pɾe.si.o.nˈaɾ
19637,de·sim·pu·re·za,nome feminino,de.zĩ.pu.ɾˈe.zə
19638,de·sin·çar,verbo,de.zĩ.sˈaɾ
19639,de·sin·cen·ti·var,verbo,de.zĩ.sẽ.tʃi.vˈa
19640,de·sin·cen·ti·vo,nome masculino,de.zĩ.sẽ.tʃˈi.vʊ
19641,de·sin·char,verbo,de.zĩ.ʃˈa
19642,de·sin·cli·na·ção,nome feminino,de.zĩ.kli.na.sˈə̃w
19643,de·sin·cli·nar,verbo,de.zĩ.kli.nˈaɾ
19644,de·sin·com·pa·ti·bi·li·za·ção,nome feminino,de.zĩ.kõ.pa.tʃi.bi.li.za.sˈə̃w
19645,de·sin·com·pa·ti·bi·li·zar,verbo,de.zĩ.kõ.pa.tʃi.bi.li.zˈaɾ
19646,de·sin·cor·po·ra·ção,nome feminino,de.zĩ.koɾ.po.ɾa.sˈə̃w
19647,de·sin·cor·po·rar,verbo,de.zĩ.koɾ.po.ɾˈaɾ
19648,de·sin·crus·ta·ção,nome feminino,de.zĩ.kɾus.ta.sˈə̃w
19649,de·sin·crus·tar,verbo,de.zĩ.kɾus.tˈaɾ
19650,de·sin·cu·ba·ção,nome feminino,de.zĩ.ku.ba.sˈə̃w
19651,de·sin·cu·bar,verbo,de.zĩ.ku.bˈaɾ
19652,de·sin·cum·bir,verbo,de.zĩ.kũ.bˈi
19653,de·sin·de·xa·ção,nome feminino,de.zĩ.dɛ.kə.sa.sˈə̃w
19654,de·sin·de·xar,verbo,de.zĩ.de.kə.sˈaɾ
19655,de·sin·di·car,verbo,de.zĩ.dʒi.kˈaɾ
19656,de·sin·di·ci·ar,verbo,de.zĩ.dʒi.sjˈaɾ
19657,de·sin·dus·tri·a·li·za·ção,nome feminino,de.zĩ.dus.tɾja.li.za.sˈə̃w
19658,de·sin·dus·tri·a·li·zar,verbo,de.zĩ.dus.tɾja.li.zˈa
19659,de·si·nên·ci·a,nome feminino,de.zi.nˈẽj.sjə
19660,de·sin·fa·mar,verbo,de.zĩ.fa.mˈaɾ
19661,de·sin·fec·ção,nome feminino,de.zĩ.fe.kə.sˈə̃w
19662,de·sin·fec·tan·te,nome masculino,de.zĩ.fe.kə.tˈə̃.tʃi
19663,de·sin·fec·tan·te,adjetivo,de.zĩ.fe.kə.tˈə̃.tʃi
19664,de·sin·fe·li·ci·da·de,nome feminino,de.zĩ.fe.li.si.dˈa.dʒi
19665,de·sin·fe·liz,adjetivo,de.zĩ.fe.lˈis
19666,de·sin·fes·ta·ção,nome feminino,de.zĩ.fɛs.ta.sˈə̃w
19667,de·sin·fes·tar,verbo,de.zĩ.fɛs.tˈa
19668,de·sin·fe·tan·te,adjetivo,de.zĩ.fe.tˈə̃.tʃi
19669,de·sin·fe·tan·te,nome masculino,de.zĩ.fe.tˈə̃.tʃi
19670,de·sin·fe·tar,verbo,de.zĩ.fe.tˈa
19671,de·sin·fla·ção,nome feminino,de.zĩ.fla.sˈə̃w
19672,de·sin·fla·ci·o·nar,verbo,de.zĩ.fla.si.o.nˈa
19673,de·sin·fla·ci·o·ná·ri·o,adjetivo,de.zĩ.fla.si.o.nˈa.ɾjʊ
19674,de·sin·fla·ci·o·nis·ta,adjetivo,de.zĩ.fla.si.o.nˈis.tə
19675,de·sin·fla·ma·ção,nome feminino,de.zĩ.fla.ma.sˈə̃w
19676,de·sin·fla·mar,verbo,de.zĩ.fla.mˈaɾ
19677,de·sin·flu·ir,verbo,de.zĩ.flwˈiɾ
19678,de·sin·for·ma·ção,nome feminino,de.zĩ.foɾ.ma.sˈə̃w
19679,de·sin·for·ma·do,adjetivo,de.zĩ.foɾ.mˈa.dʊ
19680,de·sin·for·mar,verbo,de.zĩ.foɾ.mˈa
19681,de·sin·gur·gi·tar,verbo,de.zĩ.guɾ.ʒi.tˈaɾ
19682,de·si·ni·bi·ção,nome feminino,de.zi.ni.bi.sˈə̃w
19683,de·si·ni·bi·do,adjetivo,de.zi.ni.bˈi.dʊ
19684,de·si·ni·bir,verbo,de.zi.ni.bˈi
19685,de·sin·ju·ri·ar,verbo,de.zĩ.ʒu.ɾjˈaɾ
19686,de·sin·qui·e·ta·ção,nome feminino,de.zĩ.ki.e.ta.sˈə̃w
19687,de·sin·qui·e·tan·te,adjetivo,de.zĩ.ki.e.tˈə̃.tʃi
19688,de·sin·qui·e·tar,verbo,de.zĩ.ki.e.tˈa
19689,de·sin·qui·e·to,adjetivo,de.zĩ.ki.ˈɛ.tʊ
19690,de·sin·ser·ção,nome feminino,de.zĩ.seɾ.sˈə̃w
19691,de·sins·pi·ra·ção,nome feminino,de.zĩs.pi.ɾa.sˈə̃w
19692,de·sins·pi·ra·do,adjetivo,de.zĩs.pi.ɾˈa.dʊ
19693,de·sins·ta·la·ção,nome feminino,de.zĩs.ta.la.sˈə̃w
19694,de·sins·ta·lar,verbo,de.zĩs.ta.lˈa
19695,de·sins·tru·í·do,adjetivo,de.zĩs.tɾwˈi.dʊ
19696,de·sin·te·gra·ção,nome feminino,de.zĩ.te.gɾa.sˈə̃w
19697,de·sin·te·gra·dor,adjetivo,de.zĩ.te.gɾa.dˈoɾ
19698,de·sin·te·gra·dor,nome masculino,de.zĩ.te.gɾa.dˈoɾ
19699,de·sin·te·grar,verbo,de.zĩ.te.gɾˈa
19700,de·sin·te·grá·vel,adjetivo,de.zĩ.te.gɾˈa.vew
19701,de·sin·tei·ri·çar,verbo,de.zĩ.tej.ɾi.sˈaɾ
19702,de·sin·te·li·gên·ci·a,nome feminino,de.zĩ.te.li.ʒˈẽj.sjə
19703,de·sin·ten·ci·o·na·do,adjetivo,de.zĩ.tẽ.si.o.nˈa.dʊ
19704,de·sin·ten·ci·o·nal,adjetivo,de.zĩ.tẽ.si.o.nˈaw
19705,de·sin·te·res·sa·da·men·te,advérbio,de.zĩ.te.ɾe.sa.da.mˈẽj.tʃi
19706,de·sin·te·res·sa·do,adjetivo,de.zĩ.te.ɾe.sˈa.dʊ
19707,de·sin·te·res·san·te,adjetivo,de.zĩ.te.ɾe.sˈə̃.tʃi
19708,de·sin·te·res·sar,verbo,de.zĩ.te.ɾe.sˈa
19709,de·sin·te·res·se,nome masculino,de.zĩ.te.ɾˈe.si
19710,de·sin·te·res·sei·ro,adjetivo,de.zĩ.te.ɾe.sˈej.ɾʊ
19711,de·sin·ter·me·di·a·ção,nome feminino,de.zĩ.teɾ.me.dʒja.sˈə̃w
19712,de·sin·ter·nar,verbo,de.zĩ.ter.nˈaɾ
19713,de·sin·to·xi·ca·ção,nome feminino,de.zĩ.to.ki.si.ka.sˈə̃w
19714,de·sin·to·xi·car,verbo,de.zĩ.to.ki.si.kˈa
19715,de·sin·tri·car,verbo,de.zĩ.tɾi.kˈaɾ
19716,de·sin·trin·car,verbo,de.zĩ.tɾĩ.kˈaɾ
19717,de·sin·ve·jo·so,adjetivo,de.zĩ.ve.ʒˈo.zʊ
19718,de·sin·ver·nar,verbo,de.zĩ.ver.nˈaɾ
19719,de·sin·ves·ti·men·to,nome masculino,de.zĩ.ves.tʃi.mˈẽj.tʊ
19720,de·sin·ves·tir,verbo,de.zĩ.ves.tʃˈi
19721,de·si·o·ni·za·ção,nome feminino,de.zi.o.ni.za.sˈə̃w
19722,de·si·o·ni·zar,verbo,de.zi.o.ni.zˈaɾ
19723,de·si·po·te·car,verbo,de.zi.po.te.kˈa
19724,de·sir·ma·na·da·men·te,advérbio,de.ziɾ.ma.na.da.mˈẽj.tʃi
19725,de·sir·ma·na·do,adjetivo,de.ziɾ.ma.nˈa.dʊ
19726,de·sir·ma·nar,verbo,de.ziɾ.ma.nˈa
19727,de·sir·mão,adjetivo,de.ziɾ.mˈə̃w
19728,de·sis·car,verbo,de.zis.kˈaɾ
19729,de·sis·tên·ci·a,nome feminino,de.zis.tˈẽj.sjə
19730,de·sis·ten·te,adjetivo,de.zis.tˈẽj.tʃi
19731,de·sis·tir,verbo,de.zis.tʃˈi
19732,des·jar·re·tar,verbo,dez.ʒa.xe.tˈaɾ
19733,des·jei·to,nome masculino,dez.ʒˈej.tʊ
19734,des·jei·to·so,adjetivo,dez.ʒej.tˈo.zʊ
19735,des·je·ju·ar,verbo,dez.ʒe.ʒwˈaɾ
19736,des·je·jum,nome masculino,dʒiz.ʒe.ʒˈũ
19737,des·jun·gir,verbo,dez.ʒũ.ʒˈiɾ
19738,des·jun·tar,verbo,dez.ʒũ.tˈaɾ
19739,des·la·bi·a·do,adjetivo,dez.la.bjˈa.dʊ
19740,des·la·ça·men·to,nome masculino,dʒiz.la.sa.mˈẽj.tʊ
19741,des·la·çar,verbo,dez.la.sˈaɾ
19742,des·la·crar,verbo,dez.la.kɾˈaɾ
19743,des·la·dei·ro,nome masculino,dez.la.dˈej.ɾʊ
19744,des·la·do,nome masculino,dʒiz.lˈa.dʊ
19745,des·la·dri·lhar,verbo,dez.la.dɾi.ʎˈaɾ
19746,des·la·dri·lho,nome masculino,dez.la.dɾˈi.ʎʊ
19747,des·la·je·ar,verbo,dez.la.ʒi.ˈaɾ
19748,des·la·pi·da·do,adjetivo,dez.la.pi.dˈa.dʊ
19749,des·la·pi·dar,verbo,dez.la.pi.dˈaɾ
19750,des·las·sar,verbo,dez.la.sˈaɾ
19751,des·las·trar,verbo,dez.las.tɾˈaɾ
19752,des·las·tro,nome masculino,dez.lˈas.tɾʊ
19753,des·lau·re·ar,verbo,dez.law.ɾi.ˈaɾ
19754,des·la·va·do,adjetivo,dʒiz.la.vˈa.dʊ
19755,des·la·var,verbo,dʒiz.la.vˈa
19756,des·la·vra,nome feminino,dez.lˈa.vɾə
19757,des·la·vrar,verbo,dez.la.vɾˈaɾ
19758,des·le·al,adjetivo,dʒiz.li.ˈaw
19759,des·le·al·da·de,nome feminino,dʒiz.li.aw.dˈa.dʒi
19760,des·le·al·men·te,advérbio,dez.li.aw.mˈẽj.tʃi ou dʒiz.li.aw.mˈẽj.tʃi
19761,des·le·gi·ti·ma·ção,nome feminino,dez.le.ʒi.tʃi.ma.sˈə̃w
19762,des·le·gi·ti·mar,verbo,dʒiz.le.ʒi.tʃi.mˈa
19763,des·lei·ta,nome feminino,dez.lˈej.tə
19764,des·lei·tar,verbo,dez.lej.tˈaɾ
19765,des·lei·xa·da,nome feminino,dʒiz.lej.ʃˈa.də
19766,des·lei·xa·da·men·te,advérbio,dʒiz.lej.ʃa.da.mˈẽj.tʃi
19767,des·lei·xa·do,adjetivo,dʒiz.lej.ʃˈa.dʊ
19768,des·lei·xa·do,nome masculino,dʒiz.lej.ʃˈa.dʊ
19769,des·lei·xar,verbo,dʒiz.lej.ʃˈa
19770,des·lei·xo,nome masculino,dʒiz.lˈej.ʃʊ
19771,des·lem·bra·do,adjetivo,dez.lẽ.bɾˈa.dʊ
19772,des·lem·bra·do,nome masculino,dez.lẽ.bɾˈa.dʊ
19773,des·lem·bran·ça,nome feminino,dez.lẽ.bɾˈə̃.sə
19774,des·lem·brar,verbo,dez.lẽ.bɾˈaɾ
19775,des·li·ar,verbo,dez.ljˈaɾ
19776,des·li·ga·ção,nome feminino,dʒiz.li.ga.sˈə̃w
19777,des·li·ga·do,adjetivo,dʒiz.li.gˈa.dʊ
19778,des·li·ga·du·ra,nome feminino,dez.li.ga.dˈu.ɾə
19779,des·li·ga·men·to,nome masculino,dʒiz.li.ga.mˈẽj.tʊ
19780,des·li·gar,verbo,dʒiz.li.gˈa
19781,des·li·gá·vel,adjetivo,dʒiz.li.gˈa.vew
19782,des·li·mar,verbo,dez.li.mˈaɾ
19783,des·lin·dar,verbo,dʒiz.lĩ.dˈa
19784,des·lin·de,nome masculino,dʒiz.lˈĩ.dʒi
19785,des·lin·gua·do,adjetivo,dez.lĩ.gwˈa.dʊ
19786,des·lin·gua·do,nome masculino,dez.lĩ.gwˈa.dʊ
19787,des·li·su·ra,nome feminino,dez.li.zˈu.ɾə
19788,des·li·za·men·to,nome masculino,dʒiz.li.za.mˈẽj.tʊ
19789,des·li·zan·te,adjetivo,dʒiz.li.zˈə̃.tʃi
19790,des·li·zar,verbo,dʒiz.li.zˈa
19791,des·li·ze,nome masculino,dʒiz.lˈi.zi
19792,des·lo·ca·bi·li·da·de,nome feminino,dʒiz.lo.ka.bi.li.dˈa.dʒi
19793,des·lo·ca·ção,nome feminino,dʒiz.lo.ka.sˈə̃w
19794,des·lo·ca·do,adjetivo,dʒiz.lo.kˈa.dʊ
19795,des·lo·ca·dor,adjetivo,dez.lo.ka.dˈoɾ
19796,des·lo·ca·dor,nome masculino,dez.lo.ka.dˈoɾ
19797,des·lo·ca·li·za·ção,nome feminino,dʒiz.lo.ka.li.za.sˈə̃w
19798,des·lo·ca·li·zar,verbo,dʒiz.lo.ka.li.zˈa
19799,des·lo·ca·men·to,nome masculino,dʒiz.lo.ka.mˈẽj.tʊ
19800,des·lo·car,verbo,dʒiz.lo.kˈa
19801,des·lo·do,nome masculino,dez.lˈo.dʊ
19802,des·lo·grar,verbo,dez.lo.gɾˈaɾ
19803,des·lom·bar,verbo,dez.lõ.bˈaɾ
19804,des·lou·var,verbo,dez.lo.vˈaɾ
19805,des·lou·vor,nome masculino,dez.lo.vˈoɾ
19806,des·lum·bra·do,adjetivo,dʒiz.lũ.bɾˈa.dʊ
19807,des·lum·bra·men·to,nome masculino,dʒiz.lũ.bɾa.mˈẽj.tʊ
19808,des·lum·bran·te,adjetivo,dʒiz.lũ.bɾˈə̃.tʃi
19809,des·lum·bran·te·men·te,advérbio,dʒiz.lũ.bɾə̃.te.mˈẽj.tʃi
19810,des·lum·brar,verbo,dʒiz.lũ.bɾˈa
19811,des·lum·bre,nome masculino,dʒiz.lˈũ.bɾi
19812,des·lus·tral,adjetivo,dez.lus.tɾˈaw
19813,des·lus·trar,verbo,dʒiz.lus.tɾˈa
19814,des·lus·tre,nome masculino,dʒiz.lˈus.tɾi
19815,des·lus·tro,nome masculino,dez.lˈus.tɾʊ
19816,des·lus·tro·so,adjetivo,dez.lus.tɾˈo.zʊ
19817,des·lu·zi·do,adjetivo,dez.lu.zˈi.dʊ
19818,des·lu·zi·men·to,nome masculino,dez.lu.zi.mˈẽj.tʊ
19819,des·lu·zir,verbo,dez.lu.zˈiɾ
19820,des·ma·cu·lar,verbo,dez.ma.ku.lˈaɾ
19821,des·ma·dei·rar,verbo,dez.ma.dej.ɾˈaɾ
19822,des·mag·ne·ti·za·ção,nome feminino,dʒiz.ma.gi.ne.tʃi.za.sˈə̃w
19823,des·mag·ne·ti·zar,verbo,dez.ma.gi.ne.tʃi.zˈaɾ
19824,des·mai·a·da·men·te,advérbio,dʒiz.maj.a.da.mˈẽj.tʃi
19825,des·mai·a·do,adjetivo,dʒiz.maj.ˈa.dʊ
19826,des·mai·ar,verbo,dʒiz.maj.ˈa
19827,des·mai·o,nome masculino,dʒiz.mˈaj.jʊ
19828,des·ma·lhar,verbo,dez.ma.ʎˈaɾ
19829,des·ma·li·ci·o·so,adjetivo,dez.ma.li.si.ˈo.zʊ
19830,des·ma·ma,nome feminino,dez.mˈə.mə
19831,des·ma·mar,verbo,dʒiz.ma.mˈa
19832,des·ma·me,nome masculino,dʒiz.mˈə.mi
19833,des·ma·nar,verbo,dez.ma.nˈaɾ
19834,des·man·cha,nome feminino,dʒiz.mˈə̃.ʃə
19835,des·man·cha-pra·ze·res,nome masculino,dʒiz.mˌə̃.ʃə.pɾa.zˈe.ɾis
19836,des·man·cha-pra·ze·res,adjetivo,dʒiz.mˌə̃.ʃə.pɾa.zˈe.ɾis
19837,des·man·cha-pra·ze·res,nome feminino,dʒiz.mˌə̃.ʃə.pɾa.zˈe.ɾis
19838,des·man·char,verbo,dʒiz.mə̃.ʃˈa
19839,des·man·cho,nome masculino,dʒiz.mˈə̃.ʃʊ
19840,des·man·da·do,adjetivo,dez.mə̃.dˈa.dʊ
19841,des·man·da·men·to,nome masculino,dez.mə̃.da.mˈẽj.tʊ
19842,des·man·dar,verbo,dʒiz.mə̃.dˈa
19843,des·man·di·bu·lar,verbo,dez.mə̃.dʒi.bu.lˈaɾ
19844,des·man·do,nome masculino,dʒiz.mˈə̃.dʊ
19845,des·ma·ne·ar,verbo,dez.ma.ni.ˈaɾ
19846,des·ma·nho·so,adjetivo,dez.ma.ɲˈo.zʊ
19847,des·ma·ni·lhar,verbo,dez.ma.ni.ʎˈaɾ
19848,des·ma·ni·nhar,verbo,dez.ma.ni.ɲˈaɾ
19849,des·man·tar,verbo,dez.mə̃.tˈaɾ
19850,des·man·te·la·do,adjetivo,dʒiz.mə̃.te.lˈa.dʊ
19851,des·man·te·la·dor,adjetivo,dʒiz.mə̃.te.la.dˈoɾ
19852,des·man·te·la·dor,nome masculino,dʒiz.mə̃.te.la.dˈoɾ
19853,des·man·te·la·men·to,nome masculino,dʒiz.mə̃.te.la.mˈẽj.tʊ
19854,des·man·te·lar,verbo,dʒiz.mə̃.te.lˈa
19855,des·man·to,nome masculino,dez.mˈə̃.tʊ
19856,des·ma·qui·lhan·te,adjetivo,dʒiz.ma.ki.ʎˈə̃.tʃi
19857,des·ma·qui·lhan·te,nome masculino,dʒiz.ma.ki.ʎˈə̃.tʃi
19858,des·ma·qui·lhar,verbo,dʒiz.ma.ki.ʎˈa
19859,des·ma·ra·nhar,verbo,dez.ma.ɾa.ɲˈaɾ
19860,des·ma·ra·nho,nome masculino,dez.ma.ɾˈə.ɲʊ
19861,des·mar·ca·da·men·te,advérbio,dez.maɾ.ka.da.mˈẽj.tʃi ou dʒiz.maɾ.ka.da.mˈẽj.tʃi
19862,des·mar·ca·do,adjetivo,dʒiz.maɾ.kˈa.dʊ
19863,des·mar·car,verbo,dʒiz.maɾ.kˈa
19864,des·ma·re·ar,verbo,dez.ma.ɾi.ˈaɾ
19865,des·mas·ca·ra·men·to,nome masculino,dʒiz.mas.ka.ɾa.mˈẽj.tʊ
19866,des·mas·ca·rar,verbo,dʒiz.mas.ka.ɾˈa
19867,des·mas·tre·a·men·to,nome masculino,dʒiz.mas.tɾi.a.mˈẽj.tʊ
19868,des·ma·tar,verbo,dez.ma.tˈaɾ
19869,des·ma·te·ri·a·li·za·ção,nome feminino,dʒiz.ma.te.ɾja.li.za.sˈə̃w
19870,des·ma·te·ri·a·li·zar,verbo,dʒiz.ma.te.ɾja.li.zˈa
19871,des·ma·ze·la·da,nome feminino,dʒiz.ma.ze.lˈa.də
19872,des·ma·ze·la·da·men·te,advérbio,dʒiz.ma.ze.la.da.mˈẽj.tʃi
19873,des·ma·ze·la·do,adjetivo,dʒiz.ma.ze.lˈa.dʊ
19874,des·ma·ze·la·do,nome masculino,dʒiz.ma.ze.lˈa.dʊ
19875,des·ma·ze·lar,verbo,dʒiz.ma.ze.lˈa
19876,des·ma·ze·lo,nome masculino,dʒiz.ma.zˈe.lʊ
19877,des·me·ar,verbo,dez.mi.ˈaɾ
19878,des·me·di·da,nome feminino,dʒiz.me.dʒˈi.də
19879,des·me·di·da·men·te,advérbio,dʒiz.me.dʒi.da.mˈẽj.tʃi
19880,des·me·di·do,adjetivo,dʒiz.me.dʒˈi.dʊ
19881,des·me·dir,verbo,dʒiz.me.dʒˈi
19882,des·me·dra,nome feminino,dez.mˈɛ.dɾə
19883,des·me·drar,verbo,dez.me.dɾˈaɾ
19884,des·me·dro·so,adjetivo,dez.me.dɾˈo.zʊ
19885,des·me·du·lar,verbo,dez.me.du.lˈaɾ
19886,des·me·lho·rar,verbo,dez.me.ʎo.ɾˈaɾ
19887,des·me·lin·drar,verbo,dez.me.lĩ.dɾˈaɾ
19888,des·mem·bra·do,adjetivo,dʒiz.mẽ.bɾˈa.dʊ
19889,des·mem·bra·men·to,nome masculino,dʒiz.mẽ.bɾa.mˈẽj.tʊ
19890,des·mem·brar,verbo,dʒiz.mẽ.bɾˈa
19891,des·me·mó·ri·a,nome feminino,dʒiz.me.mˈɔ.ɾjə
19892,des·me·mo·ri·a·da,nome feminino,dʒiz.me.mo.ɾjˈa.də
19893,des·me·mo·ri·a·do,adjetivo,dʒiz.me.mo.ɾjˈa.dʊ
19894,des·me·mo·ri·a·do,nome masculino,dʒiz.me.mo.ɾjˈa.dʊ
19895,des·me·mo·ri·ar,verbo,dʒiz.me.mo.ɾjˈa
19896,des·men·su·rar,verbo,dez.mẽ.su.ɾˈaɾ
19897,des·men·ti·do,nome masculino,dʒiz.mẽ.tʃˈi.dʊ
19898,des·men·ti·do,adjetivo,dʒiz.mẽ.tʃˈi.dʊ
19899,des·men·tir,verbo,dʒiz.mẽ.tʃˈi
19900,des·me·re·ce·dor,adjetivo,dez.me.ɾe.se.dˈoɾ
19901,des·me·re·cer,verbo,dʒiz.me.ɾe.sˈe
19902,des·me·re·ci·do,adjetivo,dʒiz.me.ɾe.sˈi.dʊ
19903,des·me·re·ci·men·to,nome masculino,dʒiz.me.ɾe.si.mˈẽj.tʊ
19904,des·mé·ri·to,nome masculino,dʒiz.mˈɛ.ɾi.tʊ
19905,des·me·su·ra,nome feminino,dʒiz.me.zˈu.ɾə
19906,des·me·su·ra·da·men·te,advérbio,dʒiz.me.zu.ɾa.da.mˈẽj.tʃi
19907,des·me·su·ra·do,adjetivo,dʒiz.me.zu.ɾˈa.dʊ
19908,des·me·su·rar,verbo,dʒiz.me.zu.ɾˈa
19909,des·mi·e·li·ni·za·ção,nome feminino,dʒiz.mi.e.li.ni.za.sˈə̃w
19910,des·mi·li·ta·ri·za·ção,nome feminino,dʒiz.mi.li.ta.ɾi.za.sˈə̃w
19911,des·mi·li·ta·ri·zar,verbo,dʒiz.mi.li.ta.ɾi.zˈa
19912,des·mi·na·gem,nome feminino,dʒiz.mi.nˈa.ʒeɲ
19913,des·mi·nar,verbo,dʒiz.mi.nˈa
19914,des·mi·ne·ra·li·za·ção,nome feminino,dʒiz.mi.ne.ɾa.li.za.sˈə̃w
19915,des·mi·ne·ra·li·zar,verbo,dʒiz.mi.ne.ɾa.li.zˈa
19916,des·mi·o·la·da,nome feminino,dʒiz.mi.o.lˈa.də
19917,des·mi·o·la·do,nome masculino,dʒiz.mi.o.lˈa.dʊ
19918,des·mi·o·la·do,adjetivo,dʒiz.mi.o.lˈa.dʊ
19919,des·mi·o·lar,verbo,dʒiz.mi.o.lˈa
19920,des·mis·ti·fi·ca·ção,nome feminino,dʒiz.mis.tʃi.fi.ka.sˈə̃w
19921,des·mis·ti·fi·ca·dor,adjetivo,dʒiz.mis.tʃi.fi.ka.dˈoɾ
19922,des·mis·ti·fi·ca·dor,nome masculino,dʒiz.mis.tʃi.fi.ka.dˈoɾ
19923,des·mis·ti·fi·car,verbo,dʒiz.mis.tʃi.fi.kˈa
19924,des·mi·ti·fi·car,verbo,dʒiz.mi.tʃi.fi.kˈa
19925,des·miu·dar,verbo,dez.mi.u.dˈaɾ
19926,des·mo·bi·lar,verbo,dez.mo.bi.lˈaɾ
19927,des·mo·bi·li·za·ção,nome feminino,dʒiz.mo.bi.li.za.sˈə̃w
19928,des·mo·bi·li·za·do,adjetivo,dʒiz.mo.bi.li.zˈa.dʊ
19929,des·mo·bi·li·za·do,nome masculino,dʒiz.mo.bi.li.zˈa.dʊ
19930,des·mo·bi·li·za·dor,adjetivo,dez.mo.bi.li.za.dˈoɾ
19931,des·mo·bi·li·za·dor,nome masculino,dez.mo.bi.li.za.dˈoɾ
19932,des·mo·bi·li·zar,verbo,dʒiz.mo.bi.li.zˈa
19933,des·mo·bi·li·zá·vel,adjetivo,dez.mo.bi.li.zˈa.vew
19934,des·mo·char,verbo,dez.mo.ʃˈaɾ
19935,des·mo·da,nome feminino,dez.mˈɔ.də
19936,des·mo·de·ra·do,adjetivo,dez.mo.de.ɾˈa.dʊ
19937,des·mo·de·rar,verbo,dez.mo.de.ɾˈaɾ
19938,des·mo·du·la·ção,nome feminino,dez.mo.du.la.sˈə̃w
19939,des·mo·du·la·dor,nome masculino,dez.mo.du.la.dˈoɾ
19940,des·mo·du·la·dor,adjetivo,dez.mo.du.la.dˈoɾ
19941,des·mo·du·lar,verbo,dez.mo.du.lˈaɾ
19942,des·moi·rar,verbo,dez.moj.ɾˈaɾ
19943,des·moi·ta,nome feminino,dez.mˈɔj.tə
19944,des·mol·da·gem,nome feminino,dez.mow.dˈa.ʒeɲ
19945,des·mol·dar,verbo,dez.mow.dˈaɾ
19946,des·mo·no·po·li·za·ção,nome feminino,dʒiz.mo.no.po.li.za.sˈə̃w
19947,des·mo·no·po·li·zar,verbo,dez.mo.no.po.li.zˈaɾ
19948,des·mon·ta·da,nome feminino,dʒiz.mõ.tˈa.də
19949,des·mon·ta·do,adjetivo,dʒiz.mõ.tˈa.dʊ
19950,des·mon·ta·gem,nome feminino,dʒiz.mõ.tˈa.ʒeɲ
19951,des·mon·tar,verbo,dʒiz.mõ.tˈa
19952,des·mon·tá·vel,adjetivo,dʒiz.mõ.tˈa.vew
19953,des·mon·te,nome masculino,dʒiz.mˈõ.tʃi
19954,des·mo·ra·li·za·ção,nome feminino,dʒiz.mo.ɾa.li.za.sˈə̃w
19955,des·mo·ra·li·za·do,adjetivo,dʒiz.mo.ɾa.li.zˈa.dʊ
19956,des·mo·ra·li·za·do,nome masculino,dʒiz.mo.ɾa.li.zˈa.dʊ
19957,des·mo·ra·li·za·dor,adjetivo,dʒiz.mo.ɾa.li.za.dˈoɾ
19958,des·mo·ra·li·za·dor,nome masculino,dʒiz.mo.ɾa.li.za.dˈoɾ
19959,des·mo·ra·li·za·do·ra,nome feminino,dʒiz.mo.ɾa.li.za.dˈo.ɾə
19960,des·mo·ra·li·zan·te,adjetivo,dez.mo.ɾa.li.zˈə̃.tʃi
19961,des·mo·ra·li·zar,verbo,dʒiz.mo.ɾa.li.zˈa
19962,des·mo·ro·na·men·to,nome masculino,dʒiz.mo.ɾo.na.mˈẽj.tʊ
19963,des·mo·ro·nar,verbo,dʒiz.mo.ɾo.nˈa
19964,des·mor·ta·lhar,verbo,dez.moɾ.ta.ʎˈaɾ
19965,des·mor·ti·fi·car,verbo,dez.moɾ.tʃi.fi.kˈaɾ
19966,des·mo·ti·va·ção,nome feminino,dʒiz.mo.tʃi.va.sˈə̃w
19967,des·mo·ti·va·do,adjetivo,dʒiz.mo.tʃi.vˈa.dʊ
19968,des·mo·ti·va·dor,adjetivo,dez.mo.tʃi.va.dˈoɾ
19969,des·mo·ti·var,verbo,dʒiz.mo.tʃi.vˈa
19970,des·mou·rar,verbo,dez.mo.ɾˈaɾ
19971,des·mou·ta,nome feminino,dez.mˈo.tə
19972,des·mu·dar,verbo,dʒiz.mu.dˈa
19973,des·mul·ti·pli·ca·ção,nome feminino,dʒiz.muw.tʃi.pli.ka.sˈə̃w
19974,des·mul·ti·pli·ca·dor,nome masculino,dez.muw.tʃi.pli.ka.dˈoɾ
19975,des·mul·ti·pli·ca·dor,adjetivo,dez.muw.tʃi.pli.ka.dˈoɾ
19976,des·mul·ti·pli·car,verbo,dʒiz.muw.tʃi.pli.kˈa
19977,des·mu·ni·ci·ar,verbo,dez.mu.ni.sjˈaɾ
